GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,73,274,6,18,13,61,6,10,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,99,404,16,64,27,87,21,42,7,16
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Identifier,35,110,3,3,15,31,9,13,6,13
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,102,112,24,6,30,24,22,8,7,8
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,139,325,28,28,33,80,25,27,2,15
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,34,0,0,0,4,0,1,0,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,95,280,13,13,23,91,15,45,5,42
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,198,663,29,35,48,181,37,59,10,54
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency.new Dependency.HashingFunction() {...},3,3,0,0,1,1,1,1,1,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,86,84,25,3,11,20,16,9,2,9
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,118,0,28,0,22,0,20,0,6,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,170,0,14,0,38,0,11,0,4,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,160,25,7,1,41,8,5,3,1,3
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,2,154,2,14,2,31,2,11,0,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,55,1,29,0,27
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,41,71,1,1,9,16,1,4,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,214,6,33,0,52,6,24,0,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,102,17,20,0,17,8,14,5,4,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,NpmAuditParser,203,0,14,0,42,0,11,0,4,0
